Date,Price,Open,High,Low,Vol.,Change %
12/03/23,"39,970.20","39,456.80","40,178.90","39,280.30",35.27K,1.30%
12/02/23,"39,458.40","38,688.20","39,673.40","38,646.50",37.09K,1.99%
12/01/23,"38,688.20","37,712.90","38,950.80","37,618.30",62.50K,2.59%
11/30/23,"37,712.90","37,857.60","38,144.40","37,509.20",33.53K,-0.38%
11/29/23,"37,855.50","37,823.30","38,362.90","37,607.60",49.34K,0.09%
11/28/23,"37,823.30","37,244.30","38,379.40","36,881.10",57.50K,1.54%
11/27/23,"37,248.60","37,451.80","37,563.30","36,751.50",45.24K,-0.54%
11/26/23,"37,451.80","37,786.40","37,819.10","37,166.30",29.20K,-0.89%
11/25/23,"37,787.00","37,718.60","37,887.40","37,599.90",16.09K,0.18%
11/24/23,"37,717.30","37,295.00","38,400.80","37,257.40",65.83K,1.14%
11/23/23,"37,293.10","37,410.80","37,642.50","36,915.30",32.35K,-0.31%
11/22/23,"37,410.80","35,797.50","37,862.50","35,695.60",64.81K,4.46%
11/21/23,"35,813.60","37,452.70","37,631.20","35,799.20",71.07K,-4.38%
11/20/23,"37,454.10","37,356.60","37,735.60","36,857.60",51.80K,0.27%
11/19/23,"37,354.20","36,568.60","37,504.60","36,393.30",26.14K,2.15%
11/18/23,"36,568.60","36,617.50","36,845.20","36,220.60",20.88K,-0.07%
11/17/23,"36,595.40","36,161.80","36,690.60","35,875.20",51.37K,1.20%
11/16/23,"36,161.20","37,873.90","37,907.60","35,561.60",66.92K,-4.52%
11/15/23,"37,874.90","35,549.30","37,954.10","35,379.60",75.51K,6.54%
11/14/23,"35,549.30","36,478.30","36,744.50","34,984.30",63.56K,-2.55%
11/13/23,"36,478.30","37,067.80","37,404.60","36,358.40",44.55K,-1.58%
11/12/23,"37,064.40","37,149.00","37,215.30","36,761.90",21.45K,-0.23%
11/11/23,"37,150.50","37,306.30","37,401.30","36,767.60",29.53K,-0.41%
11/10/23,"37,303.00","36,700.50","37,496.10","36,347.20",59.56K,1.64%
11/09/23,"36,700.50","35,636.90","37,942.00","35,578.10",115.56K,2.98%
11/08/23,"35,636.90","35,426.20","36,050.20","35,148.80",46.33K,0.60%
11/07/23,"35,426.10","35,042.10","35,877.90","34,536.90",53.49K,1.10%
11/06/23,"35,042.00","35,020.30","35,275.60","34,742.90",29.81K,0.06%
11/05/23,"35,019.40","35,065.80","35,360.20","34,550.00",31.02K,-0.13%
11/04/23,"35,065.80","34,718.60","35,242.20","34,601.10",23.80K,1.00%
11/03/23,"34,718.70","34,931.40","34,940.60","34,124.20",54.54K,-0.61%
11/02/23,"34,931.40","35,423.80","35,907.60","34,357.40",63.66K,-1.39%
11/01/23,"35,423.80","34,648.30","35,557.50","34,138.70",71.66K,2.23%
10/31/23,"34,650.60","34,478.90","34,704.60","34,053.90",43.40K,0.50%
10/30/23,"34,477.90","34,526.70","34,853.30","34,089.50",45.20K,-0.14%
10/29/23,"34,526.70","34,082.60","34,737.90","33,937.60",27.72K,1.30%
10/28/23,"34,082.60","33,901.60","34,387.80","33,867.30",22.00K,0.53%
10/27/23,"33,901.80","34,153.70","34,245.80","33,423.60",47.33K,-0.74%
10/26/23,"34,153.70","34,497.60","34,826.00","33,749.90",56.62K,-0.99%
10/25/23,"34,496.80","33,917.00","35,123.90","33,713.40",75.81K,1.71%
10/24/23,"33,917.00","33,037.30","35,191.40","32,866.50",159.08K,2.65%
10/23/23,"33,041.80","29,984.20","34,375.60","29,891.40",133.46K,10.20%
10/22/23,"29,984.20","29,912.70","30,193.40","29,713.60",29.07K,0.24%
10/21/23,"29,912.90","29,674.70","30,264.80","29,469.10",34.68K,0.80%
10/20/23,"29,674.50","28,724.00","30,165.90","28,586.10",82.68K,3.31%
10/19/23,"28,723.00","28,321.80","28,883.80","28,170.20",50.10K,1.42%
10/18/23,"28,321.70","28,405.20","28,876.00","28,169.00",45.01K,-0.29%
10/17/23,"28,403.60","28,508.30","28,608.50","28,096.90",53.42K,-0.37%
10/16/23,"28,509.70","27,161.20","29,969.50","27,119.70",119.18K,4.96%
10/15/23,"27,161.20","26,852.80","27,286.90","26,812.60",21.95K,1.15%
10/14/23,"26,852.80","26,863.50","26,975.70","26,805.10",13.56K,-0.04%
10/13/23,"26,863.50","26,761.10","27,114.80","26,682.90",33.66K,0.38%
10/12/23,"26,761.10","26,878.20","26,942.80","26,565.30",32.75K,-0.43%
10/11/23,"26,876.60","27,391.90","27,475.90","26,558.40",55.78K,-1.88%
10/10/23,"27,391.00","27,581.50","27,728.10","27,300.10",34.32K,-0.69%
10/09/23,"27,581.40","27,922.70","27,986.40","27,279.50",44.81K,-1.22%
10/08/23,"27,922.70","27,961.10","28,097.50","27,714.40",24.11K,-0.14%
10/07/23,"27,961.10","27,935.50","28,021.30","27,859.00",17.29K,0.09%
10/06/23,"27,936.90","27,410.30","28,223.60","27,195.70",52.51K,1.92%
10/05/23,"27,410.30","27,783.50","28,089.10","27,371.70",46.26K,-1.37%
10/04/23,"27,790.90","27,428.70","27,832.70","27,242.50",40.93K,1.32%
10/03/23,"27,428.40","27,501.60","27,670.80","27,194.10",44.06K,-0.28%
10/02/23,"27,505.30","27,974.60","28,556.60","27,325.20",84.30K,-1.68%
10/01/23,"27,974.50","26,962.50","28,038.40","26,955.70",35.11K,3.75%
09/30/23,"26,962.70","26,908.10","27,085.70","26,887.50",17.55K,0.20%
09/29/23,"26,909.80","27,022.60","27,229.50","26,728.80",42.24K,-0.42%
09/28/23,"27,022.60","26,368.20","27,283.60","26,339.40",64.56K,2.49%
09/27/23,"26,366.10","26,218.90","26,836.90","26,109.10",50.80K,0.56%
09/26/23,"26,218.90","26,303.10","26,396.20","26,093.40",26.41K,-0.32%
09/25/23,"26,302.70","26,251.60","26,423.60","26,013.60",38.20K,0.20%
